Username                   GitCred
openjsan                   2.52
hybernaut                  2.52
arikan                     2.52
lestrrat                   2.51
rondevera                  2.51
nmerouze                   2.51
bastih                     2.51
aiaio                      2.51
nathanscott                2.51
agentzh                    2.51
dorward                    2.51
mattbauer                  2.51
ceteri                     2.50
jshirley                   2.50
kevinclark                 2.50
moro                       2.50
3n                         2.50
nkpart                     2.50
kentbrew                   2.50
kr                         2.50
jcapote                    2.50
markmansour                2.50
rschenk                    2.50
tomaw                      2.49
Bill                       2.49
agencyrainford             2.49
dougma                     2.49
magnolia                   2.49
ironruby                   2.49
jedediah                   2.49
ohlol                      2.49
aaronsw                    2.49
jrallison                  2.49
railsgarden                2.49
natehaas                   2.49
chromatic                  2.48
JosephPecoraro             2.48
brentsnook                 2.48
nbio                       2.48
rblackwe                   2.48
edgarjs                    2.48
EnigmaCurry                2.48
edward                     2.48
tomas                      2.48
mdirolf                    2.47
zeljkofilipin              2.47
empty                      2.47
blackwinter                2.47
derailed                   2.47
eterps                     2.47
adamelliot                 2.47
zmalltalker                2.46
kristopher                 2.46
fudgestudios               2.46
takaaki                    2.46
hassy                      2.46
rhult                      2.46
dbrady                     2.46
dblack                     2.46
migueldeicaza              2.45
monkeyhelper               2.45
happygiraffe               2.45
jroo                       2.45
rshapiro                   2.45
rrichards                  2.45
tricycle                   2.45
itfrombit                  2.45
matthooks                  2.45
scytrin                    2.45
adamj                      2.45
yeah                       2.45
mikesten                   2.45
fredreichbier              2.44
leveille                   2.44
Marak                      2.44
songbird                   2.44
bfirsh                     2.44
hookercookerman            2.44
pedromg                    2.44
DanielVartanov             2.44
usernameguy                2.44
IndyHallLabs               2.44
soveran                    2.43
weaver                     2.43
thisismedium               2.43
mattconstantine            2.43
willcodeforfoo             2.43
bryckbost                  2.43
skalnik                    2.43
ches                       2.43
thbar                      2.43
justintv                   2.43
dangoor                    2.43
lawrencec                  2.43
burin                      2.43
mcommons                   2.43
huybrechts                 2.43
schwabsauce                2.43
shachi                     2.42
ralphm                     2.42
johndouthat                2.42
robolson                   2.42
timball                    2.42
jasonnoble                 2.42
joshnabbott                2.42
karnowski                  2.42
upstream                   2.42
brysonian                  2.41
lau                        2.41
notch8                     2.41
bmentges                   2.41
ob                         2.41
lastminutelabs             2.41
joshtaylor                 2.41
atrommer                   2.41
gravelpup                  2.41
coreyhaines                2.41
pragmaticstudio            2.41
http-engine                2.41
lmarburger                 2.41
cmelbye                    2.41
jaylett                    2.41
noahd1                     2.40
rlerdorf                   2.40
luqui                      2.40
pope                       2.40
chipdude                   2.40
programaker                2.40
revdancatt                 2.40
alexy                      2.40
rcarneiro                  2.40
ralph                      2.40
ctb                        2.40
chrisbratlien              2.40
anteaya                    2.40
masaki                     2.40
gom                        2.39
dannyamey                  2.39
kiko                       2.39
mwalker                    2.39
philoye                    2.39
dj2                        2.39
benstein                   2.39
btrott                     2.39
bricooke                   2.39
benpickles                 2.39
ardes                      2.39
nruth                      2.39
rdrainville                2.39
Snooch2TheNooch            2.39
mcgregormonster            2.39
kanzure                    2.38
undees                     2.38
knewter                    2.38
shayfrendt                 2.38
teemow                     2.38
stephrdev                  2.38
CaptPhunkosis              2.38
derekg                     2.38
ashtom                     2.38
theirishpenguin            2.38
caironoleto                2.38
capistrano                 2.38
jdalton                    2.38
byrnereese                 2.37
youpy                      2.37
jasonhudgins               2.37
jerry                      2.37
sabman                     2.37
hatena                     2.37
paulirish                  2.37
spox                       2.37
djwonk                     2.37
jacques                    2.37
cheapRoc                   2.37
iownbey                    2.36
henryr                     2.36
cmdrkeene                  2.36
kivanio                    2.36
cesare                     2.36
entombedvirus              2.36
peteforde                  2.36
brandonh                   2.36
winton                     2.36
ballantyne                 2.36
pacoguzman                 2.36
coji                       2.35
cayblood                   2.35
luddep                     2.35
fairchild                  2.35
emmapersky                 2.35
jakob                      2.35
mroth                      2.35
alfredwesterveld           2.35
garrytan                   2.35
sporkmonger                2.34
gottesmm                   2.34
tmschndr                   2.34
spjwebster                 2.34
esdras                     2.34
rubys                      2.34
texel                      2.34
foobarfighter              2.34
purcell                    2.34
lshepard                   2.34
bougyman                   2.34
phiggins42                 2.34
johnnyt                    2.33
icblenke                   2.33
kolber                     2.33
cearls                     2.33
peteonrails                2.33
digdog                     2.33
dsully                     2.33
tuulos                     2.33
caseyhelbling              2.33
chaoslawful                2.32
xing                       2.32
adzap                      2.32
blader                     2.32
holtonma                   2.32
toddlipcon                 2.32
ramon                      2.32
bryansray                  2.31
sethladd                   2.31
jhenry                     2.31
digitalspaghetti           2.31
ga2arch                    2.31
davidtrogers               2.31
n8han                      2.30
clemens                    2.30
azambuja                   2.30
Jonty                      2.30
kent                       2.30
denderello                 2.30
matiasinsaurralde          2.30
ingenthr                   2.30
noelani                    2.30
eday                       2.30
elambert                   2.30
sidewithus                 2.30
SeanSallings               2.30
dormando                   2.30
philogb                    2.30
cjheath                    2.30
m5h                        2.30
jackjack                   2.29
lozzd                      2.29
lfranchi                   2.29
ultramookie                2.29
camwest                    2.29
saivenkat                  2.29
flogic                     2.29
anandkunal                 2.29
termie                     2.29
keavy                      2.29
julias-shaw                2.28
otsune                     2.28
wrecked                    2.28
nirvdrum                   2.28
spovich                    2.28
hdurer                     2.28
robc                       2.28
yzhang                     2.28
maryrosecook               2.28
divoxx                     2.28
deanm                      2.28
softprops                  2.27
jordandobson               2.27
osfameron                  2.27
darashi                    2.27
jkalucki                   2.27
browserplus                2.27
mikowitz                   2.27
gabriel                    2.27
jish                       2.27
jsl                        2.26
kristinalim                2.26
nfelger                    2.26
brandonkelly               2.26
konryd                     2.26
jkestr                     2.26
danlarkin                  2.25
juven                      2.25
hugojosefson               2.25
kevinoneill                2.25
mkrisher                   2.25
guillermo                  2.25
stouset                    2.25
daviscabral                2.25
rphillips                  2.25
techbelly                  2.25
gbissett                   2.25
mattwynne                  2.25
rbarazi                    2.25
nefarioustim               2.25
tantek                     2.25
btedev                     2.25
goodmike                   2.24
Montoya                    2.24
liesen                     2.24
zootella                   2.24
yanbe                      2.24
runeb                      2.24
jkatz05                    2.24
timnilson                  2.24
clusterify                 2.24
sergiosalvatore            2.24
motemen                    2.24
ccheever                   2.24
lrz                        2.24
flype                      2.24
johnbender                 2.24
psi                        2.24
karmazilla                 2.24
shinh                      2.24
autarch                    2.23
tommeier                   2.23
fuchsto                    2.23
arunthampi                 2.23
ivey                       2.23
quad                       2.23
hns                        2.23
pellegrino                 2.23
namelessjon                2.23
marshall                   2.22
finn                       2.22
hidek                      2.22
revans                     2.22
avdi                       2.22
jcroft                     2.22
hugobarauna                2.22
snapper                    2.22
automatthew                2.21
ebita                      2.21
littlestarling             2.21
kch                        2.21
rafaelss                   2.21
danski                     2.21
toastyapps                 2.21
andykent                   2.21
highgroove                 2.21
skorecky                   2.21
tarantoga                  2.21
dejan                      2.21
ajpiano                    2.21
SlexAxton                  2.21
greenideas                 2.21
sevenscale                 2.20
martinjlogan               2.20
mlaaker                    2.20
bdb                        2.20
wtn                        2.20
kleinman                   2.20
apenwarr                   2.20
donthorp                   2.20
zedlander                  2.20
Synesso                    2.20
infovore                   2.20
ozeias                     2.20
espace                     2.19
snifty                     2.19
lak                        2.19
davidjrice                 2.19
geelen                     2.19
jasoncale                  2.19
jlindley                   2.19
dcrec1                     2.19
cwninja                    2.19
twada                      2.19
nzadrozny                  2.19
iorum                      2.19
neomindryan                2.19
zuk                        2.19
naha                       2.19
activefx                   2.19
johanlindberg              2.19
sbma44                     2.18
kaitlin                    2.18
kpwebb                     2.18
bitb                       2.18
gschure                    2.18
ethanpg                    2.18
whomwah                    2.18
semanticart                2.18
bgold                      2.18
jerrycainjr                2.18
siong1987                  2.18
djchall                    2.18
desi                       2.18
mangar                     2.18
imedo                      2.18
deanwampler                2.18
Uninen                     2.18
alx                        2.17
afarnham                   2.17
commanderklaus             2.17
jasonhoffman               2.17
philipp                    2.17
danielwanja                2.17
davetroy                   2.17
uicoderz                   2.17
TampaRuby                  2.17
richtaur                   2.17
omnivector                 2.16
mlitteken                  2.16
cyrildoussin               2.16
taboularasa                2.16
jeffmccune                 2.16
rtanglao                   2.15
cgriego                    2.15
zacharyvoase               2.15
jtimberman                 2.15
felttippin                 2.15
omenking                   2.15
bantic                     2.15
hans                       2.15
kana                       2.15
njonsson                   2.15
tdreyno                    2.15
mackstann                  2.15
phunt                      2.15
barbie                     2.15
retr0h                     2.15
mwilliams                  2.15
JimNeath                   2.15
sebleier                   2.14
benjaminhawkeslewis        2.14
amitu                      2.14
coleifer                   2.14
amaia                      2.14
mbailey                    2.14
ion1                       2.14
d0ugal                     2.14
DocSavage                  2.14
znarf                      2.14
chollier                   2.13
nagybence                  2.13
ruport                     2.13
backtik                    2.13
kapowaz                    2.13
openrain                   2.13
jimjeffers                 2.13
eelco                      2.13
peterneubauer              2.13
pausantesmasses            2.13
kef                        2.13
adamsanderson              2.13
joffw                      2.13
ryankennedy                2.13
objo                       2.13
wiederkehr                 2.13
bradford                   2.12
wyhaines                   2.12
dylanwh                    2.12
intabulas                  2.12
sivy                       2.12
clkao                      2.12
newtonapple                2.12
mmorga                     2.12
ajsharp                    2.12
DarkSwoop                  2.12
jeffrafter                 2.12
curtis                     2.12
Florian95                  2.12
garyharan                  2.12
blturner                   2.12
chestone                   2.11
davecheney                 2.11
progit                     2.11
hsbt                       2.11
mst                        2.11
matthewpennell             2.11
larrywright                2.11
jaknowlden                 2.11
pbrant                     2.11
livedoor                   2.11
latimes                    2.11
zaphar                     2.11
alto                       2.11
buriy                      2.10
markryall                  2.10
ulises                     2.10
videojuicer                2.10
martinstannard             2.10
aiderss                    2.10
bigfleet                   2.10
galfert                    2.10
LeipeLeon                  2.10
timander                   2.10
jakehow                    2.10
bobanj                     2.10
aroscoe                    2.10
tjulien                    2.10
jorgemancheno              2.10
glguy                      2.10
snuxoll                    2.10
carpeaqua                  2.09
yannlugrin                 2.09
teepark                    2.09
rodbegbie                  2.09
ericzou                    2.09
lukeman                    2.09
cadorn                     2.09
davemerwin                 2.09
openmelody                 2.09
shelling                   2.09
yyyc514                    2.08
doy                        2.08
shupp                      2.08
Gozala                     2.08
tene                       2.08
reidmix                    2.08
lderezinski                2.08
spurton                    2.08
Oshuma                     2.08
jimredd                    2.08
jnl                        2.08
padraic                    2.08
cmlenz                     2.08
rmoriz                     2.08
smarkets                   2.07
tychoish                   2.07
ethem                      2.07
tjhanley                   2.07
pius                       2.07
apauley                    2.07
ruchi                      2.07
cisellis                   2.07
elgenie                    2.07
laverdet                   2.07
jasonsperske               2.07
weizhu                     2.07
mbreese                    2.07
anthonygiardullo           2.07
ahimel                     2.07
dancor                     2.07
brianking                  2.07
pkushchak                  2.07
Fingertips                 2.06
lyokato                    2.06
samsm                      2.06
rwc9u                      2.06
thisisfranciswu            2.06
benspaulding               2.06
flexilis                   2.06
jduff                      2.06
imakado                    2.06
fireeagle                  2.06
mcarter                    2.06
Tivoli                     2.06
nedcampion                 2.06
twalve                     2.06
felipemesquita             2.05
bluesmoon                  2.05
rosado                     2.05
zain                       2.05
phaylon                    2.05
david                      2.05
heypanda                   2.05
brennandunn                2.05
godfat                     2.05
euphoria                   2.05
cyanogen                   2.05
tinycode                   2.05
flamontagne                2.04
sh1mmer                    2.04
banister                   2.04
koichiro                   2.04
michaelbarton              2.04
loe                        2.04
cadar                      2.04
aka47                      2.04
davidyang                  2.04
henriquebastos             2.04
jystewart                  2.03
coty                       2.03
cbetta                     2.03
patientslikeme             2.03
dustym                     2.03
molily                     2.03
darrenf                    2.03
ajturner                   2.03
kcunning                   2.03
haru01                     2.03
yav                        2.03
cyx                        2.02
jimmiw                     2.02
wilsonminer                2.02
zaach                      2.02
ianb                       2.02
muffinresearch             2.02
brendano                   2.02
alexyoung                  2.02
thedonvaughn               2.02
fbmarc                     2.02
ntoll                      2.02
alexb                      2.02
matpalm                    2.02
Juev                       2.02
railslove                  2.02
cavneb                     2.02
mtoledo                    2.01
Ramblurr                   2.01
plamere                    2.01
tobbez                     2.01
kig                        2.01
gamphani                   2.01
apgwoz                     2.01
johnclaus                  2.01
webPragmatist              2.01
ckelly                     2.01
jvanzyl                    2.01
julius                     2.01
ayax79                     2.01
yusukebe                   2.01
ab5tract                   2.01
mgutz                      2.01
kkampen                    2.01
Lau-of-DK                  2.01
ushahidi                   2.00
tony-landis                2.00
fatbusinessman             2.00
toothrot                   2.00
amartinsn                  2.00
handlino                   2.00
yizzreel                   2.00
mightybyte                 2.00
sebastiaanvisser           2.00
SeanOC                     2.00
monkrb                     2.00
felipero                   2.00
sorccu                     2.00
coffeemug                  2.00
Roman2K                    2.00
mizzy                      1.99
mneedham                   1.99
bdainton                   1.99
sunfmin                    1.99
cmilfont                   1.99
ku                         1.99
deanwilson                 1.99
zzip                       1.99
subwindow                  1.99
walt                       1.99
dhellmann                  1.99
seeflanigan                1.99
ropiku                     1.99
hasimo                     1.98
digitalpulp                1.98
jwhitmire                  1.98
breily                     1.98
trans                      1.98
si                         1.98
biv                        1.98
prb                        1.98
develop                    1.98
Shadowed                   1.98
yncyrydybyl                1.98
twilio                     1.98
joeyrobert                 1.97
evangineer                 1.97
baobab                     1.97
clr                        1.97
BandCentralGit             1.97
lucasdecastro              1.97
lian                       1.97
thatcher                   1.97
kaichen                    1.97
farra                      1.97
nmariz                     1.97
matagus                    1.96
jimm                       1.96
jberkel                    1.96
spyou                      1.96
hakobe                     1.96
dcancel                    1.96
vic                        1.96
nperez                     1.96
icaruswings                1.95
neyric                     1.95
fdv                        1.95
adamkennedy                1.95
cainlevy                   1.95
bretthoerner               1.95
mccv                       1.95
jsallis                    1.95
durdn                      1.94
scoop                      1.94
latrommi                   1.94
snusnu                     1.94
pc                         1.94
matthewlevine              1.94
skddc                      1.94
paulcarey                  1.94
pgr0ss                     1.94
DrMark                     1.94
frank                      1.94
sumihiro                   1.94
anoopr                     1.94
cameroncox                 1.93
joshnuss                   1.93
pepe                       1.93
fabioespindula             1.93
gcirne                     1.93
Markitox                   1.93
myelin                     1.93
jjl                        1.93
martinjandrews             1.93
mpeters                    1.93
kad                        1.93
skinandbones               1.93
pete                       1.93
evandroflores              1.93
miracle2k                  1.92
neotyk                     1.92
bmaland                    1.92
massemanet                 1.92
drikin                     1.92
darcy                      1.92
davidsantiago              1.92
mccoy                      1.92
loiane                     1.92
wiecklabs                  1.92
camilo                     1.92
vvs                        1.92
amachang                   1.92
shayarnett                 1.92
Industrial                 1.92
rightscale                 1.91
chewi                      1.91
ArsTechnica                1.91
quickredfox                1.91
kriszyp                    1.91
jbritten                   1.91
cawel                      1.91
mudphone                   1.91
sonsongithub               1.91
johnl                      1.91
kernow                     1.91
humanzz                    1.91
vincentisambart            1.91
jasherai                   1.91
samuelclay                 1.91
pumpkin                    1.91
thebaldwin                 1.91
hinke                      1.91
bborn                      1.90
joannou                    1.90
devjj                      1.90
bhorst                     1.90
psd                        1.90
kentaro                    1.90
keithmgould                1.90
elisehuard                 1.90
integrum                   1.90
georgepalmer               1.89
luciddesign                1.89
gleuch                     1.89
blech                      1.89
edavis10                   1.89
TimothyFitz                1.89
urbanwide                  1.89
ogijun                     1.89
jimmystridh                1.89
jpablobr                   1.89
neodude                    1.89
ErikaHayley                1.89
simonmaddox                1.89
huned                      1.89
lylo                       1.89
andymatuschak              1.89
danielvlopes               1.89
mrkn                       1.88
JacobGabrielson            1.88
mikeal                     1.88
ariekeren                  1.88
raid-ox                    1.88
nullstyle                  1.88
chrismear                  1.88
davidsmalley               1.88
sanger                     1.88
initcrash                  1.88
arcanez                    1.88
zeitgeist                  1.87
davidrichards              1.87
gslavov                    1.87
solutious                  1.87
propella                   1.87
freetwix                   1.87
parmanoir                  1.87
glenndavy                  1.87
slfritchie                 1.87
arjunbanker                1.87
fumiakiy                   1.87
JaredKuolt                 1.87
fgrehm                     1.87
dirs                       1.87
gvarela                    1.87
trak3r                     1.86
chipski                    1.86
xorg62                     1.86
andrewpbrett               1.86
mreid                      1.86
rue                        1.86
cachafla                   1.86
ariejan                    1.86
tosh                       1.86
andywenk                   1.86
luisbebop                  1.86
CarlosGabaldon             1.86
zigorou                    1.85
fastjack                   1.85
phatduckk                  1.85
wsargent                   1.85
danfairs                   1.85
hyuki0000                  1.85
jasontorres                1.85
cqa02303                   1.85
melito                     1.85
banker                     1.85
kcowgill                   1.85
rincewind                  1.85
jsyedidia                  1.85
philipwhite                1.85
deanmao                    1.85
ekellner                   1.85
joelmichael                1.85
russ                       1.85
namin                      1.85
joshwilkins                1.85
nhillyer                   1.85
halbtuerke                 1.85
michaelfeathers            1.85
jeffturcotte               1.85
jrk                        1.85
chubas                     1.85
jhsu                       1.84
openback                   1.84
Zelnox                     1.84
couchio                    1.84
anthonyshort               1.84
hesselink                  1.84
haarts                     1.84
spl                        1.84
martijnreintjes            1.84
tomlokhorst                1.84
acastro                    1.84
rotuka                     1.84
sikachu                    1.84
rhoegg                     1.84
yahooza                    1.84
tiagofernandez             1.84
ryana                      1.84
tisba                      1.84
baseonmars                 1.84
carlosantoniodasilva       1.84
angal                      1.84
thomasl                    1.84
tiendung                   1.84
jeremylightsmith           1.83
stuhood                    1.83
snoozer05                  1.83
2shortplanks               1.83
philc                      1.83
msassak                    1.83
andrewgodwin               1.83
hail2u                     1.83
Bregor                     1.83
pmuellr                    1.83
lukec                      1.83
mathieuravaux              1.83
c99koder                   1.83
harukizaemon               1.83
dominiek                   1.83
mattt                      1.83
enricob                    1.83
prohax                     1.83
book                       1.83
mindreframer               1.83
pal                        1.82
pjbarry                    1.82
nick                       1.82
jumzies                    1.82
Neurogami                  1.82
dfl                        1.82
vkgtaro                    1.82
garrettmurray              1.82
prototype                  1.82
professionalnerd           1.82
sishen                     1.82
brandonmenc                1.82
ericw                      1.82
itrekkie                   1.82
iamwilhelm                 1.82
caius                      1.82
dipeshraichura             1.81
jonpliske                  1.81
vielmetti                  1.81
llimllib                   1.81
vito                       1.81
standoutjobs               1.81
stderr                     1.81
gnugeek                    1.81
ermine                     1.81
henrik                     1.81
rcaputo                    1.81
jrconlin                   1.81
heythisisnate              1.81
benaldred                  1.81
thwarted                   1.80
sippey                     1.80
tima                       1.80
dvydra                     1.80
jamslevy                   1.80
newsdesk                   1.80
blissdev                   1.80
porras                     1.80
daemianmack                1.80
opencongress               1.80
splattael                  1.80
agibralter                 1.80
rboyd                      1.80
johnreilly                 1.79
manuelmeurer               1.79
nesquena                   1.79
alecz                      1.79
dmitriid                   1.79
thomas                     1.79
jaigouk                    1.79
flyerhzm                   1.79
runpaint                   1.79
mph                        1.79
s0nspark                   1.79
adoy                       1.79
gpbmike                    1.79
DrewDouglass               1.79
juvenn                     1.79
jonforums                  1.79
tdtds                      1.79
gray                       1.79
dmi                        1.79
gemmat                     1.79
nextupdate                 1.79
palewire                   1.78
mremond                    1.78
garrettdimon               1.78
damm                       1.78
atr000                     1.78
teeler                     1.78
martinbtt                  1.78
neomorphic                 1.78
koos                       1.78
brett                      1.78
flosch                     1.78
djw                        1.78
ddemaree                   1.78
georgebrock                1.78
ehrenmurdick               1.78
lkcl                       1.78
deepak                     1.78
akin0                      1.77
wouterla                   1.77
jed                        1.77
tjohns                     1.77
esparkman                  1.77
saimonmoore                1.77
ileitch                    1.77
bdimcheff                  1.77
mfoemmel                   1.77
stevegeek                  1.77
foysavas                   1.77
arisbartee                 1.76
joshmh                     1.76
mdarby                     1.76
dvdplm                     1.76
NaPs                       1.76
felixge                    1.76
aquasync                   1.76
stuffmc                    1.76
opentape                   1.76
palbo                      1.76
pager                      1.76
clairvy                    1.76
plataformatec              1.76
kan                        1.76
norman                     1.76
dje                        1.75
dhmspector                 1.75
theflow                    1.75
alexeiras                  1.75
tomtoday                   1.75
theIV                      1.75
boboTjones                 1.75
celldee                    1.75
pka                        1.75
eol                        1.75
rubypond                   1.75
Arthur                     1.75
stalcottsmith              1.75
dakrauth                   1.75
till                       1.75
vkholodkov                 1.75
robertkrimen               1.75
asanghi                    1.74
negrienko                  1.74
to                         1.74
adrianh                    1.74
richardc                   1.74
johan                      1.74
tomfaulhaber               1.74
ccollins                   1.74
calavera                   1.73
thomaskay                  1.73
hellekin                   1.73
brunobord                  1.73
andypearson                1.73
quix                       1.73
blakewatters               1.73
steini                     1.73
uggedal                    1.73
pboy                       1.73
markstos                   1.73
scharfie                   1.73
enkari                     1.73
bradfordw                  1.73
larsklevan                 1.72
jamesarosen                1.72
globalradio                1.72
alkema                     1.72
enygma                     1.72
elazar                     1.72
astigsen                   1.72
plustwo                    1.72
Abigail                    1.72
dsingleton                 1.72
erikankrom                 1.72
stash                      1.72
pnasrat                    1.72
nate                       1.72
socialtext                 1.71
mhauskn                    1.71
abcde                      1.71
jmazzi                     1.71
shimomura1004              1.71
wmeissner                  1.71
bianster                   1.71
thrashr888                 1.71
yonnage                    1.71
ckundo                     1.71
chazelton                  1.71
ahashim                    1.71
kvbik                      1.71
perl6                      1.71
cardacms                   1.71
nelstrom                   1.71
albertoperdomo             1.70
joelhooks                  1.70
richdownie                 1.70
roadhouse                  1.70
phuesler                   1.70
spagalloco                 1.70
theju                      1.70
stevenharman               1.70
httpdss                    1.70
rozza                      1.70
ps2                        1.70
joemoore                   1.70
apeckham                   1.70
mloughran                  1.70
mosta                      1.69
jcap                       1.69
joaovitor                  1.69
heckj                      1.69
jsgoecke                   1.69
noverloop                  1.69
r0bl0rd                    1.69
Maciek416                  1.69
sodabrew                   1.69
mager                      1.69
kylestern                  1.69
gotoplanb                  1.69
elcgit                     1.69
pitchfork                  1.69
dandv                      1.69
kenn                       1.69
everyleaf                  1.69
staugaard                  1.69
hotsyk                     1.69
thomd                      1.69
grundprinzip               1.69
fujiwara                   1.69
fbopen                     1.69
jngo                       1.68
yhara                      1.68
piclez                     1.68
sophsec                    1.68
leevigraham                1.68
manuel                     1.68
wiseman                    1.68
commanda                   1.68
yoshiki                    1.68
thesmith                   1.68
pizza                      1.68
weibel                     1.68
ecoffey                    1.67
lygaret                    1.67
vpit                       1.67
joevandyk                  1.67
pk                         1.67
juarezpaf                  1.67
xsf                        1.67
rafudu                     1.67
benatkin                   1.67
dbalmain                   1.67
mereghost                  1.67
nick-b                     1.67
tobias                     1.66
thynctank                  1.66
zeke                       1.66
liyanage                   1.66
rahoulb                    1.66
scrubber                   1.66
ionfish                    1.66
cjwoodward                 1.66
SkyM                       1.66
mexpolk                    1.66
Machx                      1.66
Soph                       1.66
jana4u                     1.66
macourtney                 1.66
kylebrowning               1.66
spencereholtaway           1.66
jamesmcewan                1.66
newism                     1.66
farcaller                  1.66
davestone                  1.66
orlandov                   1.66
capttaco                   1.66
andymckay                  1.65
fxn                        1.65
bacek                      1.65
gtcaz                      1.65
nikolay                    1.65
rupture                    1.65
pui                        1.65
jbaudanza                  1.65
ptone                      1.65
j1n3l0                     1.65
kete                       1.65
kyotosugar                 1.65
mvidaurre                  1.65
octopod                    1.65
ko1                        1.65
abi                        1.65
konobi                     1.65
pobox                      1.65
reid                       1.65
nygge                      1.65
mattyyeung                 1.64
ddfreyne                   1.64
maxim                      1.64
calagator                  1.64
joshk                      1.64
jaikoo                     1.64
yaotti                     1.64
deepu                      1.64
chris-d-adams              1.64
binarylegit                1.64
tchandy                    1.64
chrisdickinson             1.64
william-os4y               1.63
elliottkember              1.63
CrowdSense                 1.63
jkramer                    1.63
keita                      1.63
jonallen                   1.63
bsatrom                    1.63
nullset                    1.63
Edicy                      1.63
tanel                      1.63
jonleighton                1.63
scaleout                   1.63
wolframarnold              1.63
infininight                1.63
tduehr                     1.63
struct                     1.63
shashi                     1.63
aarongustafson             1.63
mikl                       1.63
mergulhao                  1.63
mwilden                    1.63
wwarneck                   1.63
sfanning                   1.63
bobj                       1.63
lucasjosh                  1.63
Me1000                     1.62
gregfu                     1.62
lee                        1.62
recess                     1.62
Almad                      1.62
arvind                     1.62
beetlebugorg               1.62
pantulis                   1.62
gonz                       1.62
sproutcoreisyournewbicycle 1.62
RandomEtc                  1.62
Constellation              1.62
samz                       1.61
tomaadland                 1.61
plathrop                   1.61
kenpratt                   1.61
julik                      1.61
mezzoblue                  1.61
jeremydurham               1.61
ln                         1.61
CobyR                      1.61
rocknpol                   1.60
mcantelon                  1.60
jaybaird                   1.60
sob                        1.60
ryanirelan                 1.60
znmeb                      1.60
lhalff                     1.60
mikeyk                     1.60
GeorgeHills                1.60
jeremyjarvis               1.60
mash                       1.60
neilmock                   1.60
satoko                     1.60
rakudo                     1.60
erlendfh                   1.59
onemorecloud               1.59
joshuamiller               1.59
apeiron                    1.59
pragmaticbadger            1.59
brunoV                     1.59
majic3                     1.59
consumr                    1.59
feydr                      1.59
fcheung                    1.59
cakephp                    1.59
railsbob                   1.59
akisute                    1.59
ekrob                      1.59
tropology                  1.59
ignu                       1.59
robrix                     1.59
sukria                     1.59
captainpete                1.59
qxjit                      1.59
merbjedi                   1.59
scudco                     1.59
mja                        1.58
datawrangling              1.58
jinzhu                     1.58
railssummit                1.58
ajwalters                  1.58
oc                         1.58
SergioFierens              1.58
jpg                        1.58
IanPouncey                 1.58
jasoncarter                1.58
rayvinly                   1.58
ss                         1.58
contextgarden              1.58
howardr                    1.58
downtowncartel             1.58
thechrisoshow              1.58
jonasabreu                 1.58
HusseinMorsy               1.58
gnmerritt                  1.58
mattallen                  1.58
bclennox                   1.58
rcoder                     1.58
vlucas                     1.57
dziegler                   1.57
heynemann                  1.57
ssoper                     1.57
durand                     1.57
dgrigsby                   1.57
jpinnix                    1.57
sodapopandco               1.57
impurist                   1.57
donpdonp                   1.57
miki                       1.57
timperrett                 1.57
benalavi                   1.57
jredville                  1.57
rossbruniges               1.57
oxtralite                  1.57
polymar                    1.56
IanLewis                   1.56
Thyraon                    1.56
rndmcnlly                  1.56
pennig                     1.56
joshuamckenty              1.56
manalang                   1.56
eekim                      1.56
wamberg                    1.56
spastorino                 1.56
brunofms                   1.56
bjhess                     1.56
tasukuchan                 1.56
mblsha                     1.56
tensorpudding              1.56
hchoroomi                  1.56
josiahivey                 1.56
whitelancer                1.56
simplegeo                  1.56
draegtun                   1.56
joericioppo                1.55
FrancoisLamotte            1.55
pdub87                     1.55
epamphleteer               1.55
addywaddy                  1.55
jasonherald                1.55
skimport                   1.55
chalkers                   1.55
tongueroo                  1.55
kevinw                     1.55
minad                      1.55
bdarcus                    1.55
craigtmackenzie            1.55
geoffreyd                  1.55
kaykay                     1.55
jstorimer                  1.55
grobie                     1.55
levent                     1.55
duncan                     1.55
esycat                     1.55
crowbot                    1.55
kuenishi                   1.55
SamuraiJack                1.54
mdavid                     1.54
cgrusden                   1.54
techiferous                1.54
travisjeffery              1.54
mightylemon                1.54
thomasfl                   1.54
fredix                     1.54
hosh                       1.54
alexmv                     1.54
syntacticx                 1.54
northscale                 1.54
jawngee                    1.54
peter                      1.54
kuja                       1.54
cpjolicoeur                1.54
timshadel                  1.54
jayk                       1.54
ella                       1.54
ciberch                    1.54
bob-p                      1.54
deepthawtz                 1.53
yaf                        1.53
khigia                     1.53
stanaka                    1.53
dcousineau                 1.53
nfjinjing                  1.53
st3f                       1.53
shift                      1.53
moriyoshi                  1.53
xomboverlord               1.53
cosmin                     1.53
ukstudio                   1.53
objectiveous               1.53
nek4life                   1.53
pupeno                     1.53
edcrypt                    1.53
jjn1056                    1.53
secelis                    1.53
redsquirrel                1.53
derobins                   1.53
rogerleite                 1.52
kickstarter                1.52
weierophinney              1.52
cheald                     1.52
hiredman                   1.52
xrd                        1.52
geetarista                 1.52
ruby                       1.52
dha                        1.52
zmonster                   1.52
hitode909                  1.52
rich                       1.52
hifi                       1.52
altrux                     1.52
xkickflip                  1.52
paulj                      1.52
wear                       1.52
domm                       1.52
earl                       1.52
ramen                      1.52
BigBlueHat                 1.52
timkelty                   1.52
wmoxam                     1.52
